                           1                            2                            3                            4                            5                            6                            7                            8 
              version_number             initial_don_mass             initial_acc_mass          initial_period_days                     compiler                        build             MESA_SDK_version                         date 
                       11701      9.5156784879724952E+001      3.3304874707903728E+001      1.0000000000000000E+001                   "gfortran"                      "8.3.0"      "x86_64-linux-20190503"                   "20210304" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46                               47                               48                               49                               50                               51 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                    star_1_radius                    star_2_radius                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                    xfer_fraction                      lg_mdot_edd                     mdot_edd_eta          lg_accretion_luminosity                          bh_spin                            J_orb                         J_spin_1                         J_spin_2                          J_total                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                   accretion_mode                acc_am_div_kep_am                      lg_t_sync_1                      lg_t_sync_2                P_rot_div_P_orb_1                P_rot_div_P_orb_2                      donor_index                 point_mass_index                      trap_radius                       acc_radius                     t_sync_rad_1                    t_sync_conv_1                     t_sync_rad_2                    t_sync_conv_2 
                               1          1.1321412135802527E+000          1.0000001038250838E+001          9.8532154533509200E+001          1.2929303033327426E+002          3.6940863651916118E+002          1.3245679709622856E+001          8.2681918901265448E+000          4.6481487270877707E+001          2.8841176341110685E+001         -7.1503322102342148E-001         -7.1331988014854553E-001          9.5156778498406311E+001          3.3304874419667094E+001         -9.8999999999999986E+001         -5.2489901688544771E+000         -6.5941514219807376E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2489901688544771E+000         -6.5941514219807376E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          1.6782939721164946E+055          1.0358498891370314E+053          1.3456628101697882E+052          1.6899981338180348E+055         -1.1180245266142267E+040          0.0000000000000000E+000         -1.9108002698821594E+036         -1.1178334465872384E+040          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1          9.0400096523243534E-001          6.4569530333754317E+000          6.8520095160187866E+000          1.0017924815927197E+000          1.0004291941532344E+000                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000          9.0378383488048266E+013          1.8305495246335140E+016          2.2445074533102719E+014          1.6400636184195526E+016 
                               2          2.4907106698765560E+000          1.0000002283920944E+001          9.8532160670193292E+001          1.2929302899121703E+002          3.6940860679910651E+002          1.3245806279120231E+001          8.2681850897751961E+000          4.6481489553192439E+001          2.8841178666820998E+001         -7.1503051200710743E-001         -7.1332013905218972E-001          9.5156770842283024E+001          3.3304874073799333E+001         -9.8999999999999986E+001         -5.2490729279622377E+000         -6.5941717658444725E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2490729279622377E+000         -6.5941717658444725E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          1.6782939241895678E+055          1.0358492616935535E+053          1.3456626996297113E+052          1.6899980795061332E+055         -1.1178568652777527E+040          0.0000000000000000E+000         -1.9107995350327740E+036         -1.1176637996171627E+040         -1.9857070866767590E+034          0.0000000000000000E+000          0.0000000000000000E+000                                1          9.8956766338014412E-001          6.7767426908640607E+000          6.7642696530483324E+000          1.0015909489795352E+000          1.0004480284357493E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          1.8873577410786059E+014          1.2522521767235394E+016          1.8339233872819788E+014          5.5605230586731580E+015 
                               3          4.1209940174321193E+000          1.0000003778686692E+001          9.8532168034018710E+001          1.2929302738077598E+002          3.6940857113594802E+002          1.3246017828014617E+001          8.2681784539934480E+000          4.6481492291897325E+001          2.8841181457599376E+001         -7.1502597754754815E-001         -7.1332039687247750E-001          9.5156761655157297E+001          3.3304873658761139E+001         -9.8999999999999986E+001         -5.2490834332226388E+000         -6.5941750304507121E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2490834332226388E+000         -6.5941750304507121E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          1.6782938666781820E+055          1.0358485086339149E+053          1.3456625669850907E+052          1.6899980143315060E+055         -1.1178388601268734E+040          0.0000000000000000E+000         -1.9107986533185645E+036         -1.1176418733699608E+040         -5.9068915806784770E+034          0.0000000000000000E+000          0.0000000000000000E+000                                1          9.8956295121924864E-001          6.6347441355915127E+000          6.7641417256994094E+000          1.0013031103420635E+000          1.0003610182696414E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          1.3609923104657608E+014          1.2521833255764444E+016          1.8333832597496266E+014          5.5602575651563660E+015 
                               4          6.0773340344987954E+000          1.0000005572369504E+001          9.8532176870418567E+001          1.2929302544828272E+002          3.6940852834097115E+002          1.3246315259161078E+001          8.2681709247093131E+000          4.6481495578269801E+001          2.8841184806463325E+001         -7.1501959878085852E-001         -7.1332069122013275E-001          9.5156750630792459E+001          3.3304873160716369E+001         -9.8999999999999986E+001         -5.2490907616324893E+000         -6.5941759540831910E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2490907616324893E+000         -6.5941759540831910E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          1.6782937976649901E+055          1.0358476047293145E+053          1.3456624077976881E+052          1.6899979361200807E+055         -1.1178312324201815E+040          0.0000000000000000E+000         -1.9107975952848485E+036         -1.1176275611528228E+040         -1.2591507830250256E+035          0.0000000000000000E+000          0.0000000000000000E+000                                1          9.8955506802643289E-001          6.5396237790476217E+000          6.7642744169436586E+000          1.0010287012461745E+000          1.0002899676410697E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          1.0932898468563584E+014          1.2521749525087534E+016          1.8339435042011078E+014          5.5599919922944700E+015 
                               5          8.4249420549788070E+000          1.0000007724744146E+001          9.8532187473857945E+001          1.2929302312934280E+002          3.6940847698798200E+002          1.3246700509968820E+001          8.2681616615333073E+000          4.6481499521822720E+001          2.8841188825012924E+001         -7.1501133469780609E-001         -7.1332105234293852E-001          9.5156737401771181E+001          3.3304872563063178E+001         -9.8999999999999986E+001         -5.2490978690353991E+000         -6.5941763419971569E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2490978690353991E+000         -6.5941763419971569E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          1.6782937148495127E+055          1.0358465197782759E+053          1.3456622167587189E+052          1.6899978422640543E+055         -1.1178264677136403E+040          0.0000000000000000E+000         -1.9107963256680916E+036         -1.1176140573663510E+040         -2.1330714722477342E+035          0.0000000000000000E+000          0.0000000000000000E+000                                1          9.8954398093534734E-001          6.4931341765040962E+000          6.7647981180571399E+000          1.0008131082165161E+000          1.0002339493652215E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          9.8230354731326781E+013          1.2523082266991834E+016          1.8361563289276272E+014          5.5597221312669360E+015 
                               6          1.1242071679554821E+001          1.0000010307534168E+001          9.8532200197663215E+001          1.2929302034668521E+002          3.6940841536569519E+002          1.3247148796410416E+001          8.2681496153201568E+000          4.6481504253959827E+001          2.8841193647156196E+001         -7.1500171930683865E-001         -7.1332151794849818E-001          9.5156721527228186E+001          3.3304871845879156E+001         -9.8999999999999986E+001         -5.2491055989796465E+000         -6.5941762251219549E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2491055989796465E+000         -6.5941762251219549E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          1.6782936154712891E+055          1.0358452175942904E+053          1.3456619874977535E+052          1.6899977296347298E+055         -1.1178225399506779E+040          0.0000000000000000E+000         -1.9107948021580121E+036         -1.1175997589076986E+040         -3.1701562763478838E+035          0.0000000000000000E+000          0.0000000000000000E+000                                1          9.8952961866201028E-001          6.4714395558278497E+000          6.7687027186805730E+000          1.0007319379165311E+000          1.0001992227649052E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          9.3443929203319953E+013          1.2523621390132776E+016          1.8527390472942903E+014          5.5594392258391730E+015 
                               7          1.4622627229046037E+001          1.0000013406786170E+001          9.8532215465715623E+001          1.2929301700759117E+002          3.6940834142108736E+002          1.3247689633207065E+001          8.2681333799593908E+000          4.6481509932325316E+001          2.8841199433540226E+001         -7.1499011859780337E-001         -7.1332213838706904E-001          9.5156702478252242E+001          3.3304870985256656E+001         -9.8999999999999986E+001         -5.2491164431717756E+000         -6.5941753815948285E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2491164431717756E+000         -6.5941753815948285E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          1.6782934962181976E+055          1.0358436549101943E+053          1.3456617123720018E+052          1.6899975944796716E+055         -1.1178152585545968E+040          0.0000000000000000E+000         -1.9107929739893975E+036         -1.1175801404199992E+040         -4.4038837198872423E+035          0.0000000000000000E+000          0.0000000000000000E+000                                1          9.8951290817677107E-001          6.4566714473573175E+000          6.7648122420312333E+000          1.0006767127104468E+000          1.0001796427173242E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          9.0319803327300766E+013          1.2572542346312804E+016          1.8362160447361672E+014          5.5591360566690200E+015 
                               8          1.8679293888435495E+001          1.0000017125775416E+001          9.8532233786766909E+001          1.2929301300079371E+002          3.6940825269005376E+002          1.3248278131262913E+001          8.2681109361932368E+000          4.6481516746125529E+001          2.8841206376978722E+001         -7.1497749947311640E-001         -7.1332298558797769E-001          9.5156679620025429E+001          3.3304869952504909E+001         -9.8999999999999986E+001         -5.2491267844571299E+000         -6.5941733817286821E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2491267844571299E+000         -6.5941733817286821E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          1.6782933531150363E+055          1.0358417796464866E+053          1.3456613822086239E+052          1.6899974322937098E+055         -1.1178109747310605E+040          0.0000000000000000E+000         -1.9107907802487974E+036         -1.1175623063347502E+040         -5.7589318285676611E+035          0.0000000000000000E+000          0.0000000000000000E+000                                1          9.8949274866924541E-001          6.4507430100617471E+000          6.7650842983488930E+000          1.0007286610932027E+000          1.0001399776870286E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          8.9095249003781984E+013          1.2573493846323120E+016          1.8373666710913788E+014          5.5588053717793080E+015 
                               9          2.3547293879702845E+001          1.0000021588403207E+001          9.8532255771171464E+001          1.2929300819276963E+002          3.6940814621637838E+002          1.3248930386201673E+001          8.2680792995044197E+000          4.6481524922355334E+001          2.8841214708790325E+001         -7.1496351704611172E-001         -7.1332416533120402E-001          9.5156652190940932E+001          3.3304868713191297E+001         -9.8999999999999986E+001         -5.2491392564851163E+000         -6.5941693463916407E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2491392564851163E+000         -6.5941693463916407E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          1.6782931813920723E+055          1.0358395295408900E+053          1.3456609859850776E+052          1.6899972376734663E+055         -1.1178055746650986E+040          0.0000000000000000E+000         -1.9107881478381636E+036         -1.1175419225530223E+040         -7.2573297292511337E+035          0.0000000000000000E+000          0.0000000000000000E+000                                1          9.8947081838314410E-001          6.4459623544912148E+000          6.7653618670688918E+000          1.0008282052211162E+000          1.0001207542666724E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          8.8119878641392406E+013          1.2601245510709980E+016          1.8385413545069922E+014          5.5584419307238820E+015 
