                           1                            2                            3                            4                            5                            6                            7                            8 
              version_number             initial_don_mass             initial_acc_mass          initial_period_days                     compiler                        build             MESA_SDK_version                         date 
                       11701      9.5156784879724952E+001      3.3304874707903728E+001      1.0000000000000000E+002                   "gfortran"                      "8.3.0"      "x86_64-linux-20190503"                   "20210304" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46                               47                               48                               49                               50                               51 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                    star_1_radius                    star_2_radius                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                    xfer_fraction                      lg_mdot_edd                     mdot_edd_eta          lg_accretion_luminosity                          bh_spin                            J_orb                         J_spin_1                         J_spin_2                          J_total                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                   accretion_mode                acc_am_div_kep_am                      lg_t_sync_1                      lg_t_sync_2                P_rot_div_P_orb_1                P_rot_div_P_orb_2                      donor_index                 point_mass_index                      trap_radius                       acc_radius                     t_sync_rad_1                    t_sync_conv_1                     t_sync_rad_2                    t_sync_conv_2 
                               1          1.1321412135802527E+000          1.0000000996230543E+002          4.5734574727458329E+002          6.0012508598807628E+001          1.7146430070463282E+002          1.3229094019093237E+001          8.2648128484870274E+000          2.1574795193678187E+002          1.3386888168279091E+002         -9.3868264379645372E-001         -9.3826188174133762E-001          9.5156778761783499E+001          3.3304874426972027E+001         -9.8999999999999986E+001         -5.2672952851378341E+000         -6.6052998501697164E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2672952851378341E+000         -6.6052998501697164E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.6157747567959383E+055          1.0342164945729156E+052          1.3454389861746476E+051          3.6169435171891287E+055         -2.3192367250226724E+040          0.0000000000000000E+000         -8.8691492411310408E+033         -2.3192358381077481E+040          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.2124938477098556E+001          1.2518280684845347E+001          1.0150625095972943E+000          1.0066470778529952E+000                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000          4.2077508168860901E+019          1.8326493151532296E+020          1.0408597644055033E+020          1.6411942433604429E+020 
                               2          2.4907106698765560E+000          1.0000002191472009E+002          4.5734577460650729E+002          6.0012507991391551E+001          1.7146428747851621E+002          1.3229254371369430E+001          8.2648082743386002E+000          2.1574796211098655E+002          1.3386889203331356E+002         -9.3868190344915536E-001         -9.3826192068369485E-001          9.5156771421743400E+001          3.3304874089876648E+001         -9.8999999999999986E+001         -5.2673834130181802E+000         -6.6053290563417297E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2673834130181802E+000         -6.6053290563417297E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.6157746573776166E+055          1.0342159033926103E+052          1.3454388793214609E+051          3.6169434171689412E+055         -2.3188520736163771E+040          0.0000000000000000E+000         -8.8691459667937735E+033         -2.3188511864392841E+040         -2.6249648873828388E+030          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.2503582411944667E+001          1.2247593314157939E+001          1.0279049651449463E+000          1.0133378609799750E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          1.0062223228174669E+020          1.2662176196339809E+020          8.5069219124961395E+019          5.5809078291666461E+019 
                               3          4.1209940174321193E+000          1.0000003625637970E+002          4.5734580740198294E+002          6.0012507262511029E+001          1.7146427160859346E+002          1.3229508070470475E+001          8.2648031655737597E+000          2.1574797431901757E+002          1.3386890445283319E+002         -9.3868073101391658E-001         -9.3826196457381372E-001          9.5156762614481835E+001          3.3304873685372627E+001         -9.8999999999999986E+001         -5.2674221979725804E+000         -6.6053402479649881E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2674221979725804E+000         -6.6053402479649881E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.6157745380842087E+055          1.0342152028855366E+052          1.3454387519490027E+051          3.6169432971622895E+055         -2.3186853415533279E+040          0.0000000000000000E+000         -8.8691420381796304E+033         -2.3186844548146829E+040          1.7555870263366430E+030          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.2318653038119947E+001          1.2247585948024964E+001          1.0376892087346290E+000          1.0194550139981733E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          6.5730142528092561E+019          1.2660174185793883E+020          8.5095027525636112E+019          5.5808131713658454E+019 
                               4          6.0773340344987954E+000          1.0000005346516313E+002          4.5734584675378784E+002          6.0012506387873337E+001          1.7146425256607023E+002          1.3229872381257039E+001          8.2647968058453056E+000          2.1574798896766376E+002          1.3386891935517613E+002         -9.3867904658318779E-001         -9.3826201895364936E-001          9.5156752046535985E+001          3.3304873199978282E+001         -9.8999999999999986E+001         -5.2674537602778253E+000         -6.6053496271278753E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2674537602778253E+000         -6.6053496271278753E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.6157743949405159E+055          1.0342143702320553E+052          1.3454386000225883E+051          3.6169431531707502E+055         -2.3185493416641599E+040          0.0000000000000000E+000         -8.8691373242138893E+033         -2.3185484545252312E+040         -2.2519630814873541E+030          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.2206143783133307E+001          1.2247576128816911E+001          1.0435618302968621E+000          1.0248655425868500E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          5.0728885257310585E+019          1.2658500293208814E+020          8.5095542531895443E+019          5.5806869930503578E+019 
                               5          8.4249420549788070E+000          1.0000007411458135E+002          4.5734589397338374E+002          6.0012505338326953E+001          1.7146422971632873E+002          1.3230328497958405E+001          8.2647884885640845E+000          2.1574800654511697E+002          1.3386893723698475E+002         -9.3867693746133551E-001         -9.3826208933045352E-001          9.5156739365714799E+001          3.3304872617515514E+001         -9.8999999999999986E+001         -5.2674782061955163E+000         -6.6053574180319305E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2674782061955163E+000         -6.6053574180319305E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.6157742231759384E+055          1.0342133766723277E+052          1.3454384186778146E+051          3.6169429803944789E+055         -2.3184433343277121E+040          0.0000000000000000E+000         -8.8691316678127650E+033         -2.3184424472990573E+040         -1.1548834228702168E+030          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.2187095086541646E+001          1.2247563632103967E+001          1.0443054175482882E+000          1.0296600803008154E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          4.8551943871870566E+019          1.2657655504558247E+020          8.5147228006920733E+019          5.5805264125159195E+019 
                               6          1.1242071679554821E+001          1.0000009889305058E+002          4.5734595063498824E+002          6.0012504078889286E+001          1.7146420229759420E+002          1.3230876553063215E+001          8.2647772164067046E+000          2.1574802763737117E+002          1.3386895869441290E+002         -9.3867440320102646E-001         -9.3826218342914747E-001          9.5156724149259503E+001          3.3304871918570150E+001         -9.8999999999999986E+001         -5.2674933359179672E+000         -6.6053636046193809E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2674933359179672E+000         -6.6053636046193809E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.6157740170644413E+055          1.0342121852092365E+052          1.3454382020812278E+051          3.6169427730698588E+055         -2.3183758877331694E+040          0.0000000000000000E+000         -8.8691248804441399E+033         -2.3183750007499306E+040         -7.0750770512861856E+029          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.2134915684398058E+001          1.2247548236601329E+001          1.0397252856291119E+000          1.0332867233161964E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          4.3055359545455059E+019          1.2658919834683734E+020          8.5148337782116401E+019          5.5803285894030590E+019 
                               7          1.4622627229046037E+001          1.0000012862686005E+002          4.5734601862809546E+002          6.0012502567577407E+001          1.7146416939552273E+002          1.3231504033125292E+001          8.2647616006564988E+000          2.1574805294777497E+002          1.3386898444301406E+002         -9.3867150200271721E-001         -9.3826231195341081E-001          9.5156705889740493E+001          3.3304871079843082E+001         -9.8999999999999986E+001         -5.2674987434027347E+000         -6.6053674139121812E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2674987434027347E+000         -6.6053674139121812E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.6157737697334375E+055          1.0342107490542853E+052          1.3454379430808941E+051          3.6169425242768000E+055         -2.3183497098125429E+040          0.0000000000000000E+000         -8.8691167358109014E+033         -2.3183488227784320E+040         -1.2243734059644714E+030          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.2125497575162512E+001          1.2247529647410721E+001          1.0353529799271330E+000          1.0362876960232097E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          4.2131712410052411E+019          1.2709183481519133E+020          8.5251921350021235E+019          5.5800897386322321E+019 
                               8          1.8679293888435495E+001          1.0000016430699672E+002          4.5734610021881656E+002          6.0012500754010262E+001          1.7146412991355311E+002          1.3232222714408451E+001          8.2647395899487535E+000          2.1574808331989703E+002          1.3386901534094326E+002         -9.3866817952311266E-001         -9.3826249062264511E-001          9.5156683978604050E+001          3.3304870073374495E+001         -9.8999999999999986E+001         -5.2675044194412282E+000         -6.6053690983362507E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2675044194412282E+000         -6.6053690983362507E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.6157734729393128E+055          1.0342090182491072E+052          1.3454376331819019E+051          3.6169422257208805E+055         -2.3183256549982578E+040          0.0000000000000000E+000         -8.8691069623789598E+033         -2.3183247681570291E+040          6.9467344903559359E+029          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.2116861328528083E+001          1.2247507617720432E+001          1.0357557705399782E+000          1.0379661937340907E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          4.1302169475660120E+019          1.2706209438521439E+020          8.5663416960203194E+019          5.5798066944395698E+019 
                               9          2.3547293879702845E+001          1.0000020712193944E+002          4.5734619812486949E+002          6.0012498577721480E+001          1.7146408253664006E+002          1.3232990547537273E+001          8.2647083290483003E+000          2.1574811976545885E+002          1.3386905241733967E+002         -9.3866463095055963E-001         -9.3826274123997766E-001          9.5156657686045207E+001          3.3304868865607610E+001         -9.8999999999999986E+001         -5.2675177141792862E+000         -6.6053674525272692E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2675177141792862E+000         -6.6053674525272692E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.6157731167938438E+055          1.0342069419294399E+052          1.3454372619064999E+051          3.6169418674619640E+055         -2.3182769577516093E+040          0.0000000000000000E+000         -8.8690952344895828E+033         -2.3182760707696200E+040         -7.2465854578664970E+029          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.2113192224930579E+001          1.2247481995339246E+001          1.0371712890536779E+000          1.0381808917547490E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          4.0954701113487778E+019          1.2740051609857298E+020          8.5308789576487043E+019          5.5794775083165229E+019 
